videoID,url,timestamp,caption,matching_score,desirable_filtering,shot_boundary_detection
--2EwlPH81M,https://www.youtube.com/watch?v=--2EwlPH81M,"[['0:01:19.345', '0:01:22.048'], ['0:01:39.833', '0:01:42.602'], ['0:02:12.932', '0:02:15.535']]","['There are several bowls of food on a table, including tortilla chips, salsa, and guacamole.', 'A person is making a quesadilla on a wooden table.', 'A wooden table topped with bowls of food.']","[0.451416015625, 0.44775390625, 0.445556640625]","['desirable', 'desirable', 'desirable']","[[['0:00:00.000', '0:00:02.669']], [['0:00:00.000', '0:00:02.736']], [['0:00:00.000', '0:00:02.569']]]"
--2vurIKJsg,https://www.youtube.com/watch?v=--2vurIKJsg,"[['0:00:00.900', '0:00:08.100'], ['0:00:15.900', '0:00:23.900'], ['0:00:30.900', '0:01:18.900']]","['There is a black background with a lot of glitter falling from the sky.', 'A woman is standing in front of a kitchen counter and talking to the camera.', 'Two women standing in a kitchen with a dog.']","[0.449462890625, 0.471435546875, 0.434814453125]","['desirable', 'desirable', 'desirable']","[[['0:00:00.000', '0:00:07.166']], [['0:00:00.000', '0:00:07.966']], [['0:00:00.000', '0:00:47.966']]]"
--34IDLn_Zk,https://www.youtube.com/watch?v=--34IDLn_Zk,"[['0:00:20.353', '0:00:22.731'], ['0:00:32.991', '0:00:35.535'], ['0:01:46.606', '0:01:48.900']]","['A woman in a denim jacket sitting outside in the woods.', 'A person is holding two aluminum foil packets in the forest.', 'A person is drizzling a sauce on a plate of food.']","[0.45703125, 0.441650390625, 0.463623046875]","['desirable', 'desirable', 'desirable']","[[['0:00:00.000', '0:00:02.377']], [['0:00:00.000', '0:00:02.502']], [['0:00:00.000', '0:00:01.084'], ['0:00:01.126', '0:00:02.293']]]"
--3J7uROKrM,https://www.youtube.com/watch?v=--3J7uROKrM,"[['0:00:00.467', '0:00:04.504'], ['0:01:54.814', '0:01:58.852'], ['0:03:21.334', '0:03:41.254']]","['A can of super seal on a blue background.', 'The homepage of idpusa com.', 'A man is working on the engine of a car.']","[0.488525390625, 0.436279296875, 0.43359375]","['desirable', '4_computer_screen_recording', 'desirable']","[[['0:00:00.033', '0:00:04.004']], [['0:00:00.000', '0:00:04.037']], [['0:00:00.000', '0:00:10.610'], ['0:00:10.677', '0:00:19.919']]]"
--3JudYrVvg,https://www.youtube.com/watch?v=--3JudYrVvg,"[['0:00:50.083', '0:01:10.320'], ['0:01:13.656', '0:01:20.330'], ['0:03:35.748', '0:04:23.763']]","['There is a soccer game being played in a stadium with a large crowd of people watching.', 'There is a soccer game being played in a stadium with a large crowd of people watching.', 'A young man is sitting in front of a camera and talking to the viewer.']","[0.47412109375, 0.47900390625, 0.454833984375]","['desirable', 'desirable', 'desirable']","[[['0:00:00.000', '0:00:01.818'], ['0:00:01.835', '0:00:19.402'], ['0:00:19.436', '0:00:19.552'], ['0:00:19.569', '0:00:20.220']], [['0:00:00.000', '0:00:06.673']], [['0:00:00.000', '0:00:48.014']]]"
--3USVNpA04,https://www.youtube.com/watch?v=--3USVNpA04,"[['0:00:37.303', '0:01:25.351'], ['0:02:41.027', '0:02:44.597'], ['0:05:37.837', '0:05:44.243']]","['A man is talking on a television show.', 'A man is talking to a microphone in front of a tv.', 'A sign with the logo on a blue background.']","[0.449462890625, 0.4609375, 0.451416015625]","['desirable', 'desirable', 'desirable']","[[['0:00:00.000', '0:00:48.014']], [['0:00:00.000', '0:00:03.536']], [['0:00:00.000', '0:00:06.373']]]"
--3yKu_P0ps,https://www.youtube.com/watch?v=--3yKu_P0ps,"[['0:00:56.689', '0:01:08.668'], ['0:02:00.720', '0:02:16.669'], ['0:02:20.607', '0:02:36.556']]","['A person is using an orange scuba diving inflatable buoyancy compensator.', 'It is a blue and black case with a loop at one end for attaching the unit to other things.', 'A person is holding a black case in their hands.']","[0.46826171875, 0.469970703125, 0.46435546875]","['desirable', 'desirable', 'desirable']","[[['0:00:00.000', '0:00:01.301'], ['0:00:01.334', '0:00:05.972'], ['0:00:06.006', '0:00:11.945']], [['0:00:00.000', '0:00:00.800'], ['0:00:00.834', '0:00:04.804'], ['0:00:04.838', '0:00:09.609'], ['0:00:09.676', '0:00:13.446'], ['0:00:13.480', '0:00:15.915']], [['0:00:00.000', '0:00:04.270'], ['0:00:04.304', '0:00:07.540'], ['0:00:07.574', '0:00:13.813'], ['0:00:13.847', '0:00:15.915']]]"
--492-xoMZ0,https://www.youtube.com/watch?v=--492-xoMZ0,"[['0:00:59.458', '0:01:05.541'], ['0:01:14.916', '0:01:35.250'], ['0:02:10.875', '0:02:17.375']]","['An onion and a ginger root sitting on top of a gas stove.', 'It is a pot of beef bones and oxtail being boiled in water for 20 minutes, then the water is strained out and the broth is cooked again.', 'There is a charred ginger, onion, and spices on a cutting board.']","[0.461181640625, 0.45849609375, 0.446044921875]","['0_low_desirable_score', '0_low_desirable_score', 'desirable']","[[['0:00:00.000', '0:00:06.041']], [['0:00:00.000', '0:00:20.333']], [['0:00:00.000', '0:00:06.458']]]"
--4qvI2S0pc,https://www.youtube.com/watch?v=--4qvI2S0pc,"[['0:00:00.967', '0:00:09.009'], ['0:00:15.949', '0:01:03.997'], ['0:03:55.868', '0:04:07.847']]","['A man standing in front of a door with a sign that says ""welcome to my workshop"".', 'A close up of a piece of wood with some tools on it.', 'A carpenter is using a handsaw to cut a piece of wood.']","[0.4638671875, 0.446044921875, 0.444580078125]","['1_still_foreground_image', 'desirable', 'desirable']","[[['0:00:00.000', '0:00:08.041']], [['0:00:00.000', '0:00:48.014']], [['0:00:00.000', '0:00:10.176'], ['0:00:10.210', '0:00:11.945']]]"
--52m0dvB3U,https://www.youtube.com/watch?v=--52m0dvB3U,"[['0:00:23.256', '0:00:27.293'], ['0:01:23.583', '0:01:34.828'], ['0:02:15.034', '0:02:23.543']]","[""A close up of a tv screen with a man's face on it."", 'A man and woman on a news program.', 'A man is being escorted to a hospital by two police officers.']","[0.437744140625, 0.453369140625, 0.4638671875]","['0_low_desirable_score', 'desirable', 'desirable']","[[['0:00:00.000', '0:00:04.004']], [['0:00:00.000', '0:00:09.175'], ['0:00:09.209', '0:00:11.244']], [['0:00:00.000', '0:00:03.737'], ['0:00:03.770', '0:00:08.508']]]"
--5Uy5YZMjA,https://www.youtube.com/watch?v=--5Uy5YZMjA,"[['0:02:42.680', '0:02:47.520'], ['0:05:33.280', '0:05:37.120'], ['0:09:21.720', '0:09:26.560']]","['The speaker is standing in front of a cemetery and talking about death.', 'A man is standing in front of a waterfall and pointing at it with his hand.', 'An aerial view of a green field with a mountain in the background.']","[0.432861328125, 0.450927734375, 0.4638671875]","['desirable', 'desirable', '1_still_foreground_image']","[[['0:00:00.000', '0:00:04.800']], [['0:00:00.000', '0:00:00.680'], ['0:00:00.720', '0:00:01.880'], ['0:00:01.920', '0:00:03.800']], [['0:00:00.000', '0:00:02.960'], ['0:00:03.040', '0:00:04.800']]]"
--6JLFIxTY8,https://www.youtube.com/watch?v=--6JLFIxTY8,"[['0:00:17.851', '0:00:23.623'], ['0:00:24.991', '0:00:30.563'], ['0:00:39.239', '0:00:44.044']]","['A group of men in suits and ties sitting next to each other.', 'A group of people are sitting around a table in a formal setting, with one person speaking and others listening.', 'A group of asian people toasting each other.']","[0.478515625, 0.48095703125, 0.460693359375]","['desirable', 'desirable', 'desirable']","[[['0:00:00.000', '0:00:05.739']], [['0:00:00.000', '0:00:05.538']], [['0:00:00.000', '0:00:04.804']]]"
--6Rz6GUzB4,https://www.youtube.com/watch?v=--6Rz6GUzB4,"[['0:00:17.317', '0:00:23.690'], ['0:00:49.082', '0:01:02.729'], ['0:01:10.370', '0:01:58.418']]","['There is a group of people standing around a kitchen counter with various food items on it.', 'There is a flyer for a meal with ingredients and sauces on the menu.', 'A person stirring food in a pan on a stove.']","[0.45556640625, 0.452392578125, 0.450439453125]","['desirable', '3_screen_in_screen', 'desirable']","[[['0:00:00.000', '0:00:06.339']], [['0:00:00.000', '0:00:13.613']], [['0:00:00.000', '0:00:01.234'], ['0:00:01.267', '0:00:05.438'], ['0:00:05.472', '0:00:37.670'], ['0:00:37.704', '0:00:43.777'], ['0:00:43.810', '0:00:48.014']]]"
--728h8mnDY,https://www.youtube.com/watch?v=--728h8mnDY,"[['0:00:05.680', '0:00:08.840'], ['0:01:04.760', '0:01:08.800'], ['0:01:21.760', '0:01:24.080']]","['A man standing in a kitchen with a cutting board.', 'There is a man standing at a counter in a kitchen with green walls and appliances.', 'A man in a kitchen preparing food on a cutting board.']","[0.430419921875, 0.44189453125, 0.44677734375]","['desirable', 'desirable', 'desirable']","[[['0:00:00.000', '0:00:03.120']], [['0:00:00.000', '0:00:04.000']], [['0:00:00.000', '0:00:02.280']]]"
--7sUkZvJZM,https://www.youtube.com/watch?v=--7sUkZvJZM,"[['0:00:02.440', '0:00:06.480'], ['0:01:57.960', '0:02:45.960'], ['0:16:55.520', '0:17:43.520']]","['A picture of a mandolin and a guitar.', 'An old man is holding a guitar in his hand. he is wearing a white shirt and has gray hair.', 'Three men sitting at a table playing guitars.']","[0.444091796875, 0.4677734375, 0.44580078125]","['desirable', 'desirable', 'desirable']","[[['0:00:00.000', '0:00:04.000']], [['0:00:00.000', '0:00:47.960']], [['0:00:00.000', '0:00:47.960']]]"
--7xtF2BKjA,https://www.youtube.com/watch?v=--7xtF2BKjA,"[['0:00:10.977', '0:00:19.319'], ['0:00:20.987', '0:00:26.292'], ['0:00:34.134', '0:00:39.506']]","['A wrecked car on the side of the road.', 'A car on the side of a road next to a truck.', 'There is a white truck on the side of the road, with damage to the front end.']","[0.43798828125, 0.4482421875, 0.480224609375]","['0_low_desirable_score', '0_low_desirable_score', '1_still_foreground_image']","[[['0:00:00.000', '0:00:02.802'], ['0:00:02.836', '0:00:08.308']], [['0:00:00.000', '0:00:05.271']], [['0:00:00.000', '0:00:05.338']]]"
--8-CpqsoY8,https://www.youtube.com/watch?v=--8-CpqsoY8,"[['0:00:07.657', '0:00:18.568'], ['0:00:39.639', '0:00:43.109'], ['0:00:53.920', '0:00:56.806']]","['The video is about fitness and resistance bands.', 'It is a man wearing a blue sweater sitting in front of a microphone and speaking into it.', 'The morning saver website on a tablet computer.']","[0.451904296875, 0.461669921875, 0.43798828125]","['1_still_foreground_image', 'desirable', '4_computer_screen_recording']","[[['0:00:00.000', '0:00:02.268'], ['0:00:02.302', '0:00:10.910']], [['0:00:00.000', '0:00:03.453']], [['0:00:00.000', '0:00:02.869']]]"
--889Uur3xI,https://www.youtube.com/watch?v=--889Uur3xI,"[['0:05:33.566', '0:05:43.042'], ['0:05:55.288', '0:06:00.159'], ['0:06:33.359', '0:06:36.763']]","['A woman is making chocolate truffles using a silicone mold.', 'A hand holding an egg in front of a doll.', 'A person holding a small container of food in their hands.']","[0.45703125, 0.4580078125, 0.4404296875]","['desirable', 'desirable', 'desirable']","[[['0:00:00.000', '0:00:06.673'], ['0:00:06.706', '0:00:09.476']], [['0:00:00.000', '0:00:04.838']], [['0:00:00.000', '0:00:03.370']]]"
--8Fl1OBaOE,https://www.youtube.com/watch?v=--8Fl1OBaOE,"[['0:00:00.950', '0:00:08.692'], ['0:00:14.914', '0:00:20.003'], ['0:00:21.037', '0:00:24.491']]","['A news reporter is standing in front of a city building at night and talking to the camera.', 'A senior woman is sitting in front of a window and talking to the camera.', 'A newspaper with a picture of a man and a woman on it.']","[0.4833984375, 0.478759765625, 0.44384765625]","['desirable', 'desirable', '0_low_desirable_score']","[[['0:00:00.000', '0:00:07.741']], [['0:00:00.000', '0:00:05.071']], [['0:00:00.000', '0:00:03.453']]]"
--8GxOZztkw,https://www.youtube.com/watch?v=--8GxOZztkw,"[['0:00:00.791', '0:00:07.125'], ['0:00:34.208', '0:00:52.333'], ['0:01:39.791', '0:02:00.583']]","['A man in a suit and tie on a news set.', 'A man wearing a white turban and holding a microphone is speaking to the camera.', 'A politician is speaking to a group of people at a meeting.']","[0.4384765625, 0.456298828125, 0.4306640625]","['desirable', '1_still_foreground_image', 'desirable']","[[['0:00:00.000', '0:00:06.333']], [['0:00:00.000', '0:00:18.083']], [['0:00:00.000', '0:00:10.666'], ['0:00:10.750', '0:00:20.750']]]"
--8ibVA-7WM,https://www.youtube.com/watch?v=--8ibVA-7WM,"[['0:00:05.958', '0:00:54.041'], ['0:02:52.195', '0:02:56.727'], ['0:08:53.622', '0:08:57.734']]","['A young woman is sitting in front of a blue wall and holding a pair of scissors.', 'A young girl holding a purple object in her hands.', 'A young woman is sitting in front of a blue wall and holding a piece of paper in her hand.']","[0.431884765625, 0.4658203125, 0.45556640625]","['desirable', 'desirable', 'desirable']","[[['0:00:00.000', '0:00:48.000']], [['0:00:00.000', '0:00:04.531']], [['0:00:00.000', '0:00:04.027']]]"
--8lMPoBVbQ,https://www.youtube.com/watch?v=--8lMPoBVbQ,"[['0:10:06.005', '0:10:10.743'], ['0:11:06.032', '0:11:23.082'], ['0:12:35.254', '0:12:55.174']]","['A hand holding a box of dragon ball z cards.', 'A person holding a pen and a pencil in front of a drawing of dragon ball z.', 'The person has a collection of colored pencils and markers for drawing.']","[0.451171875, 0.442138671875, 0.478271484375]","['desirable', 'desirable', 'desirable']","[[['0:00:00.000', '0:00:04.704']], [['0:00:00.000', '0:00:17.017']], [['0:00:00.000', '0:00:19.886']]]"
--8tWKpDDRA,https://www.youtube.com/watch?v=--8tWKpDDRA,"[['0:00:11.511', '0:00:13.888'], ['0:00:21.980', '0:00:24.107'], ['0:01:52.695', '0:01:56.407']]","['A man looking at an interactive table in a museum.', 'Two people are sitting in chairs and talking to each other.', 'A man standing in front of three large screens.']","[0.493408203125, 0.48046875, 0.45166015625]","['desirable', 'desirable', 'desirable']","[[['0:00:00.000', '0:00:02.335']], [['0:00:00.000', '0:00:02.085']], [['0:00:00.000', '0:00:03.670']]]"
--8xYxkPwyw,https://www.youtube.com/watch?v=--8xYxkPwyw,"[['0:12:07.093', '0:12:51.904'], ['0:12:58.077', '0:13:03.048'], ['0:13:04.116', '0:13:08.154']]","['A man is holding a fish next to another man in the snow.', 'There is a person wearing an orange vest and holding a shotgun walking through tall grass.', 'The colorado parks wildlife logo on a black background.']","[0.476806640625, 0.51318359375, 0.48193359375]","['desirable', 'desirable', '1_still_foreground_image']","[[['0:00:00.000', '0:00:44.310'], ['0:00:44.344', '0:00:44.778']], [['0:00:00.000', '0:00:04.938']], [['0:00:00.000', '0:00:04.004']]]"
--969KWdF5I,https://www.youtube.com/watch?v=--969KWdF5I,"[['0:04:55.762', '0:04:59.265'], ['0:05:09.942', '0:05:12.945'], ['0:14:33.672', '0:14:36.675']]","['The denver broncos score a touchdown during a football game.', 'An american football player embraces another player on the field during a game.', 'A close up of a football player wearing a helmet.']","[0.44921875, 0.438232421875, 0.44482421875]","['3_screen_in_screen', 'desirable', 'desirable']","[[['0:00:00.000', '0:00:03.470']], [['0:00:00.000', '0:00:02.969']], [['0:00:00.000', '0:00:02.969']]]"
--9FeTRG_bY,https://www.youtube.com/watch?v=--9FeTRG_bY,"[['0:00:25.658', '0:00:30.196'], ['0:06:28.121', '0:06:43.436'], ['0:07:56.459', '0:08:02.365']]","['A man in a purple shirt with the words red bull player of the year.', 'There are two people playing mini golf, one person is putting the ball into the hole while the other person watches.', 'A miniature golf course with a number of holes.']","[0.43505859375, 0.45166015625, 0.4541015625]","['1_still_foreground_image', 'desirable', 'desirable']","[[['0:00:00.000', '0:00:02.252'], ['0:00:02.268', '0:00:04.521']], [['0:00:00.000', '0:00:15.298']], [['0:00:00.000', '0:00:01.651'], ['0:00:01.668', '0:00:05.889']]]"
--9Gbv8OpZQ,https://www.youtube.com/watch?v=--9Gbv8OpZQ,"[['0:00:27.777', '0:00:51.634'], ['0:03:31.502', '0:03:35.548'], ['0:03:37.967', '0:03:53.942']]","['A close up of a thermometer on a red surface.', 'A person is cooking food in a dutch oven on an outdoor grill.', 'A person is cooking food on an outdoor grill using a frying pan.']","[0.47705078125, 0.449462890625, 0.443603515625]","['0_low_desirable_score', 'desirable', 'desirable']","[[['0:00:00.000', '0:00:23.815']], [['0:00:00.000', '0:00:04.004']], [['0:00:00.000', '0:00:15.974']]]"
--9wmhNNMxU,https://www.youtube.com/watch?v=--9wmhNNMxU,"[['0:00:01.534', '0:00:13.847'], ['0:00:16.416', '0:00:24.958'], ['0:01:47.607', '0:01:52.112']]","['A man wearing a blue tie and glasses is on the news.', 'A news reporter in a room full of people.', 'A man standing in front of a wall of bottles.']","[0.468505859375, 0.438720703125, 0.441162109375]","['desirable', 'desirable', 'desirable']","[[['0:00:00.000', '0:00:12.312']], [['0:00:00.000', '0:00:08.508']], [['0:00:00.000', '0:00:04.471']]]"
--C66yU3LjM,https://www.youtube.com/watch?v=--C66yU3LjM,"[['0:02:53.882', '0:03:07.020'], ['0:04:47.662', '0:05:01.509'], ['0:05:52.101', '0:06:07.617']]","['A woman is standing in front of a christmas tree, holding two bows and looking at them to decide which one to put on the back of the tree.', 'A pair of hands cutting a piece of twine with a pair of scissors.', 'A woman is standing in front of a christmas tree and talking to the camera.']","[0.459716796875, 0.4365234375, 0.489013671875]","['desirable', 'desirable', 'desirable']","[[['0:00:00.000', '0:00:13.096']], [['0:00:00.000', '0:00:13.805']], [['0:00:00.000', '0:00:15.515']]]"
--C78G2-oTs,https://www.youtube.com/watch?v=--C78G2-oTs,"[['0:00:46.129', '0:00:48.840'], ['0:01:40.975', '0:01:45.021'], ['0:02:11.714', '0:02:15.051']]","['An older man wearing glasses and a green shirt against a black background.', 'A woman with glasses is talking on a black background.', 'There are two men standing next to each other, one of them is holding a piece of paper and pointing at something in the distance.']","[0.493896484375, 0.4931640625, 0.470703125]","['desirable', 'desirable', 'desirable']","[[['0:00:00.000', '0:00:02.669']], [['0:00:00.000', '0:00:04.004']], [['0:00:00.000', '0:00:03.294']]]"
--CNyawG0p4,https://www.youtube.com/watch?v=--CNyawG0p4,"[['0:02:01.121', '0:02:05.158'], ['0:06:21.848', '0:06:25.885'], ['0:07:35.054', '0:07:39.091']]","['A soccer player is standing on a soccer field, wearing a black and white jersey. he has blonde hair and is looking at the camera with a serious expression.', 'A bald man in a black jacket standing in front of a crowd.', 'A group of men in green uniforms on a soccer field.']","[0.465087890625, 0.45166015625, 0.451171875]","['1_still_foreground_image', '1_still_foreground_image', '1_still_foreground_image']","[[['0:00:00.000', '0:00:04.004']], [['0:00:00.000', '0:00:04.004']], [['0:00:00.000', '0:00:04.004']]]"
--CXWZW1Hjs,https://www.youtube.com/watch?v=--CXWZW1Hjs,"[['0:02:31.818', '0:02:40.360'], ['0:04:59.766', '0:05:04.070'], ['0:05:25.758', '0:05:31.998']]","['A man opening a door in an office.', 'There is a tall building in the city with trees and buildings around it.', 'A man walking down a brick walkway next to a bridge.']","[0.4443359375, 0.449951171875, 0.451416015625]","['desirable', 'desirable', 'desirable']","[[['0:00:00.000', '0:00:08.541']], [['0:00:00.000', '0:00:04.270']], [['0:00:00.000', '0:00:06.206']]]"
--C_Q7Z_jsU,https://www.youtube.com/watch?v=--C_Q7Z_jsU,"[['0:02:14.467', '0:02:20.907'], ['0:02:47.500', '0:02:50.370'], ['0:03:53.333', '0:03:59.839']]","['A man wearing a white shirt and tie is sitting at a table with cups and bowls on it.', 'There is a picture of a man named seong jae-gi on a wooden deck.', 'There is a man sitting at a table in a restaurant. he is wearing a white shirt and a tie.']","[0.433349609375, 0.4345703125, 0.457763671875]","['desirable', 'desirable', '1_still_foreground_image']","[[['0:00:00.000', '0:00:06.406']], [['0:00:00.000', '0:00:02.869']], [['0:00:00.000', '0:00:06.473']]]"
--Cl0LEmA4E,https://www.youtube.com/watch?v=--Cl0LEmA4E,"[['0:00:59.359', '0:01:02.028'], ['0:01:02.829', '0:01:06.900'], ['0:01:10.036', '0:01:19.379']]","['A sign that says ""entering gill"" at night.', 'There is a bridge at night with streetlights and a car driving on the bridge.', 'A newscast with a woman standing in front of a bridge.']","[0.44091796875, 0.468994140625, 0.47607421875]","['1_still_foreground_image', 'desirable', 'desirable']","[[['0:00:00.000', '0:00:02.635']], [['0:00:00.000', '0:00:04.037']], [['0:00:00.000', '0:00:09.309']]]"
--DWgBHm6lk,https://www.youtube.com/watch?v=--DWgBHm6lk,"[['0:00:00.880', '0:00:08.280'], ['0:00:16.120', '0:00:20.640'], ['0:00:40.000', '0:00:42.160']]","['A man with glasses and a red hoodie sitting in a tent.', 'A man is camping in a tent and drinking tea from a cup.', 'A man is standing in a snowy forest, wearing a helmet and goggles, and talking to the camera.']","[0.472412109375, 0.43701171875, 0.4541015625]","['desirable', 'desirable', 'desirable']","[[['0:00:00.000', '0:00:07.360']], [['0:00:00.000', '0:00:00.480'], ['0:00:00.520', '0:00:04.480']], [['0:00:00.000', '0:00:02.120']]]"
--DxZjSOOz0,https://www.youtube.com/watch?v=--DxZjSOOz0,"[['0:00:08.758', '0:00:11.136'], ['0:00:26.026', '0:00:28.737'], ['0:00:39.664', '0:00:43.001']]","['A google home device sitting on top of a table.', 'A person is using an app on a tablet with food on the screen.', 'Two young women are preparing food in the kitchen with other people in the background.']","[0.45556640625, 0.447021484375, 0.455078125]","['desirable', 'desirable', 'desirable']","[[['0:00:00.000', '0:00:02.377']], [['0:00:00.000', '0:00:02.669']], [['0:00:00.000', '0:00:01.418'], ['0:00:01.459', '0:00:03.294']]]"
--EevvB_6EM,https://www.youtube.com/watch?v=--EevvB_6EM,"[['0:00:30.300', '0:00:34.300'], ['0:00:36.300', '0:00:48.600'], ['0:00:51.666', '0:00:59.666']]","['A man in a suit and tie standing in front of a city at night.', 'A man in a suit and tie standing in front of a weather map.', 'A news anchor is standing in front of a backdrop of a city skyline with a river running through it.']","[0.45654296875, 0.4677734375, 0.452880859375]","['desirable', 'desirable', 'desirable']","[[['0:00:00.000', '0:00:03.966']], [['0:00:00.000', '0:00:12.266']], [['0:00:00.000', '0:00:07.966']]]"
